,, - MARKET VALUE, - DIVIDEND YIELD, - PER, - PRICE INDEX,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR, - ADJUSTMENTFACTOR, - ADJUST COEFFICIENT, - DIV PAY DATE, - EX-DIVID DATE, - DIV.PER SHR., - DIV RATE UNADJUST, - DIVIDEND TAX IND, - DIVIDEND TYPE, - DIV RATE UNADJUST, - EARNINGS PER SHR,#ERROR, - HISTORICAL VOLATILITY 5 YEARS, - MARKET VAL BY CO.,#ERROR, - ASK PRICE, - BID PRICE, - PRICE HIGH, - PRICE LOW,#ERROR, - OPENING PRICE, - RETURN IND AS PAID, - TOT RETURN IND, - TURNOVER BY VALUE, - TURNOVER BY VOLUME, - UNADJ. PRICE OPEN, - UNADJUSTED PRICE, - UNADJ. ASK PRICE, - UNADJ. BID PRICE, - UNADJ. PRICE HIGH, - UNADJ. PRICE LOW, - UNADJ. VOLUME, - VOL WGHTD AV PRICE,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR,#ERROR, - TURNOVER BY VOLUME -  - TURNOVER BY VOLUME,#ERROR,#ERROR,#ERROR,#ERROR, - TURNOVER BY VOLUME - P/CSH FLOW RATIO, - TURNOVER BY VOLUME - PRICE TO BOOK VAL, - TURNOVER BY VOLUME - , - TURNOVER BY VOLUME -  (#S), - TURNOVER BY VOLUME -  (#T), - TURNOVER BY VOLUME - NUMBER OF SHARES, - TURNOVER BY VOLUME -  - MARKET VALUE, - TURNOVER BY VOLUME - PRICE INDEX, - TURNOVER BY VOLUME - FREE FLOAT NOSH,#ERROR, - TURNOVER BY VOLUME - TOTAL INTANGIBLE OT ASSETS-NET, - TURNOVER BY VOLUME - TOTAL INVENTORIES, - TURNOVER BY VOLUME - CURRENT ASSETS - TOTAL, - TURNOVER BY VOLUME - TOTAL INVENTORIES, - TURNOVER BY VOLUME - CASH & SHORT TERM INVESTMENTS, MICRO - RECEIVABLES(NET),#ERROR, MICRO - SHORT TERM DEBT & CURRENT PORT, MICRO - CURRENT LIABILITIES-TOTAL, MICRO - WORKING CAPITAL, MICRO - LONG TERM DEBT, MICRO - TOTAL DEBT, MICRO - DEFERRED TAXES,#ERROR, MICRO - COMMON STOCK, MICRO - PREFERRED STOCK, MICRO - TOTAL CAPITAL, MICRO - FUNDS FROM OPERATIONS, MICRO - NET CASH FLOW-OPERATING ACTIVS, MICRO - AMORTIZATION-INTANGIBLE ASSETS,#ERROR, MICRO - COMMON DIVIDENDS (CASH), MICRO - CASH DIVIDENDS PAID - TOTAL, MICRO - NET PROCEEDS FROM SALE/ISSUE C, MICRO - NET CASH FLOW - FINANCING, MICRO - INCREASE/DECREASE IN CASH/SHOR, MICRO - NET SALES OR REVENUES,#ERROR," MICRO - SELLING, GENERAL & ADMINISTRAT", MICRO - DEPRECIATION/DEPLETION/AMORT, MICRO - AMORTIZATION OF INTANGIBLES, MICRO - AMORTIZATION OF DEFERRED CHARG, MICRO - OPERATING INCOME, MICRO - INTEREST EXPENSE ON DEBT,#ERROR, MICRO - RESEARCH & DEVELOPMENT, MICRO - SALARIES & BENEFITS EXPENSES, MICRO - EXTRAORDINARY CREDIT - PRETAX, MICRO - EXTRAORDINARY CHARGE - PRETAX, MICRO - PRETAX INCOME, MICRO - INCOME TAXES,#ERROR, MICRO - NET INC BEFORE EXTRA/PFD DIVS, MICRO - PREFERRED DIVIDEND REQUIREMENT, MICRO - DIVIDENDS PROVIDED/PAID-COMMON, MICRO - EARNINGS BEF INTEREST & TAXES, MICRO - EBIT & DEPRECIATION, MICRO - NET INCOME - BASIC,#ERROR, MICRO - EMPLOYEES,#ERROR,#ERROR
1 ,11.12,2697.94,0,NA,82.5,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5177,2697.94,,20.45,20.4,20.75,19.9,,20.25,88.95,88.95,56844,2814,20.25,16.9,20.45,20.4,20.75,19.9,2814,NA,,,,,,,1000,,,,,9.16,1.1,1,20.4,20.4,132252,1000000,8013.09,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
2 ,11.02,2737.62,0,NA,83.7,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5188,2737.62,,20.7,20.65,21.5,20.5,,20.5,90.26,90.26,68163,3246,20.5,16.75,20.7,20.65,21.5,20.5,3246,NA,,,,,,,1000,,,,,9.29,1.12,1,20.7,20.7,132252,1000000,8025.93,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
3 ,#N/A,2737.62,0,NA,83.7,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5197,2737.62,,NA,NA,NA,NA,,NA,90.26,90.26,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,,,,,,,1000,,,,,9.29,1.12,1,NA,20.7,132252,1000000,8025.93,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
4 ,11.21,2843.42,0,NA,86.9,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5209,2843.42,,21.5,21.45,22.1,21.25,,21.25,93.74,93.74,173257,7898,21.25,17.05,21.5,21.45,22.1,21.25,7898,NA,,,,,,,1000,,,,,9.65,1.16,1,21.5,21.5,132252,1000000,8089.65,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
5 ,11.31,2830.19,0,NA,86.5,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5221,2830.19,,21.4,21.35,21.75,21,,21.4,93.31,93.31,58697,2742,21.4,17.2,21.4,21.35,21.75,21,2742,NA,,,,,,,1000,,,,,9.61,1.15,1,21.4,21.4,132252,1000000,8121.78,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
6 ,11.21,2850.03,0,NA,87.1,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5232,2850.03,,21.65,21.55,22.3,21.2,,21.3,93.96,93.96,81335,3740,21.3,17.05,21.65,21.55,22.3,21.2,3740,NA,,,,,,,1000,,,,,9.67,1.16,1,21.55,21.55,132252,1000000,8057.6,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
7 ,11.15,3048.4,0,NA,93.2,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5247,3048.4,,NA,23.05,23.05,21.55,,21.55,100.5,100.5,164885,7240,21.55,16.95,NA,23.05,23.05,21.55,7240,NA,,,,,,,1000,,,,,10.35,1.24,1,23.05,23.05,132252,1000000,8092.03,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
8 ,11.15,2856.64,0,NA,87.3,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5256,2856.64,,21.65,21.6,23.7,21.45,,23.6,94.18,94.18,152109,6791,23.6,16.95,21.65,21.6,23.7,21.45,6791,NA,,,,,,,1000,,,,,9.7,1.16,1,21.6,21.6,132252,1000000,8117.75,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
9 ,10.92,2671.49,0,NA,81.7,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5261,2671.49,,20.25,20.2,21.45,20.1,,21.45,88.08,88.08,94945,4591,21.45,16.6,20.25,20.2,21.45,20.1,4591,NA,,,,,,,1000,,,,,9.07,1.09,1,20.2,20.2,132252,1000000,8029.73,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
10 ,10.95,2843.42,0,NA,86.9,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.527,2843.42,,21.5,21.35,21.5,20.2,,20.2,93.74,93.74,46729,2236,20.2,16.65,21.5,21.35,21.5,20.2,2236,NA,,,,,,,1000,,,,,9.65,1.16,1,21.5,21.5,132252,1000000,8097.13,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
11 ,10.92,2843.42,0,NA,86.9,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5276,2843.42,,21.5,21.45,22.1,21.05,,22,93.74,93.74,84142,3910,22,16.6,21.5,21.45,22.1,21.05,3910,NA,,,,,,,1000,,,,,9.65,1.16,1,21.5,21.5,132252,1000000,8171.94,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
12 ,10.98,2830.19,0,NA,86.5,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5279,2830.19,,21.5,21.4,21.9,21.15,,21.4,93.31,93.31,51352,2379,21.4,16.7,21.5,21.4,21.9,21.15,2379,NA,,,,,,,1000,,,,,9.61,1.15,1,21.4,21.4,132252,1000000,8111.57,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
13 ,10.65,2697.94,0,NA,82.5,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5279,2697.94,,20.5,20.35,21.35,20.3,,21.25,88.95,88.95,41837,2004,21.25,16.2,20.5,20.35,21.35,20.3,2004,NA,,,,,,,1000,,,,,9.16,1.1,1,20.4,20.4,132252,1000000,7854.22,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
14 ,10.75,2724.39,0,NA,83.3,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5278,2724.39,,20.65,20.55,20.9,20.35,,20.7,89.82,89.82,39691,1921,20.7,16.35,20.65,20.55,20.9,20.35,1921,NA,,,,,,,1000,,,,,9.25,1.11,1,20.6,20.6,132252,1000000,7900.42,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
15 ,10.75,2770.68,0,NA,84.7,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5276,2770.68,,21,20.95,21.2,20.8,,20.8,91.35,91.35,49912,2378,20.8,16.35,21,20.95,21.2,20.8,2378,NA,,,,,,,1000,,,,,9.4,1.13,1,20.95,20.95,132252,1000000,7990.53,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
16 ,10.69,2770.68,0,NA,84.7,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5276,2770.68,,21,20.95,21.2,20.85,,21,91.35,91.35,26805,1277,21,16.25,21,20.95,21.2,20.85,1277,NA,,,,,,,1000,,,,,9.4,1.13,1,20.95,20.95,132252,1000000,7978.69,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
17 ,10.65,2962.44,0,NA,90.5,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5277,2962.44,,NA,22.4,22.4,21.05,,21.2,97.67,97.67,52804,2387,21.2,16.2,NA,22.4,22.4,21.05,2387,NA,,,,,,,1000,,,,,10.05,1.21,1,22.4,22.4,132252,1000000,8004.89,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
18 ,11.05,3074.86,0,NA,94,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5274,3074.86,,23.3,23.25,23.85,22.7,,22.9,101.37,101.37,162562,6982,22.9,16.8,23.3,23.25,23.85,22.7,6982,NA,,,,,,,1000,,,,,10.44,1.25,1,23.25,23.25,132252,1000000,8158.14,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
19 ,10.95,3035.18,0,NA,92.8,,,,,,,,,,,,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.5268,3035.18,,23.1,22.95,23.5,22.6,,23.25,100.07,100.07,48890,2117,23.25,16.65,23.1,22.95,23.5,22.6,2117,NA,,,,,,,1000,,,,,10.3,1.24,1,22.95,22.95,132252,1000000,8146.44,74,,25247,844080,2392713,844080,616186,814364,,1119709,1739361,653352,480029,1599738,-14971,,1322522,0,2879210,287948,-46845,30525,,0,0,0,7477,-113378,3712405,,482049,163709,30525,NA,173132,32055,,186506,826850,259,0,199072,50644,,148475,0,0,231127,394836,148475,,4385,,
