,, - MARKET VALUE, - DIVIDEND YIELD, - PER, - PRICE INDEX, - 12M FWD DIVIDEND YIELD (%), - 12 MONTH FORWARD EARN. YIELD, - CURRENT EV / 12M FWD EBIT, - CURRENT EV / 12M FWD EBITDA, - CURRENT EV / 12M FWD SALES,#ERROR, - 12M FWD NET DEBT / EBITDA, - 12M FWD NET DEBT / EV, - 12M FWD PE vs MARKET, - 12M FWD PE vs SECTOR, - 12M FWD PRICE/BOOK, - ADJUSTMENTFACTOR, - ADJUST COEFFICIENT, - DIV PAY DATE, - EX-DIVID DATE, - DIV.PER SHR., - DIV RATE UNADJUST, - DIVIDEND TAX IND, - DIVIDEND TYPE, - DIV RATE UNADJUST, - EARNINGS PER SHR,#ERROR, - HISTORICAL VOLATILITY 5 YEARS, - MARKET VAL BY CO.,#ERROR, - ASK PRICE, - BID PRICE, - PRICE HIGH, - PRICE LOW,#ERROR, - OPENING PRICE, - RETURN IND AS PAID, - TOT RETURN IND, - TURNOVER BY VALUE, - TURNOVER BY VOLUME, - UNADJ. PRICE OPEN, - UNADJUSTED PRICE, - UNADJ. ASK PRICE, - UNADJ. BID PRICE, - UNADJ. PRICE HIGH, - UNADJ. PRICE LOW, - UNADJ. VOLUME, - VOL WGHTD AV PRICE, - BK VAL PS 12M FWD, - EV 12M FWD, - NET INCOME 12M FWD, - PRETAX PRF 12M FWD, - ROE 12M FWD, - SALES 12M FWD, -  - TURNOVER BY VOLUME,#ERROR,#ERROR, - PRICE/EBG2 RATIO, - PRICE/EBG1 RATIO, - P/CSH FLOW RATIO, - PRICE TO BOOK VAL, - , -  (#S), -  (#T), - NUMBER OF SHARES, -  - MARKET VALUE, - PRICE INDEX, - FREE FLOAT NOSH,#ERROR, - TOTAL INTANGIBLE OT ASSETS-NET, - TOTAL INVENTORIES, - CURRENT ASSETS - TOTAL, - TOTAL INVENTORIES, - CASH & SHORT TERM INVESTMENTS, CORP - RECEIVABLES(NET),#ERROR, CORP - SHORT TERM DEBT & CURRENT PORT, CORP - CURRENT LIABILITIES-TOTAL, CORP - WORKING CAPITAL, CORP - LONG TERM DEBT, CORP - TOTAL DEBT, CORP - DEFERRED TAXES,#ERROR, CORP - COMMON STOCK, CORP - PREFERRED STOCK, CORP - TOTAL CAPITAL, CORP - FUNDS FROM OPERATIONS, CORP - NET CASH FLOW-OPERATING ACTIVS, CORP - AMORTIZATION-INTANGIBLE ASSETS,#ERROR, CORP - COMMON DIVIDENDS (CASH), CORP - CASH DIVIDENDS PAID - TOTAL, CORP - NET PROCEEDS FROM SALE/ISSUE C, CORP - NET CASH FLOW - FINANCING, CORP - INCREASE/DECREASE IN CASH/SHOR, CORP - NET SALES OR REVENUES,#ERROR," CORP - SELLING, GENERAL & ADMINISTRAT", CORP - DEPRECIATION/DEPLETION/AMORT, CORP - AMORTIZATION OF INTANGIBLES, CORP - AMORTIZATION OF DEFERRED CHARG, CORP - OPERATING INCOME, CORP - INTEREST EXPENSE ON DEBT,#ERROR, CORP - RESEARCH & DEVELOPMENT, CORP - SALARIES & BENEFITS EXPENSES, CORP - EXTRAORDINARY CREDIT - PRETAX, CORP - EXTRAORDINARY CHARGE - PRETAX, CORP - PRETAX INCOME, CORP - INCOME TAXES,#ERROR, CORP - NET INC BEFORE EXTRA/PFD DIVS, CORP - PREFERRED DIVIDEND REQUIREMENT, CORP - DIVIDENDS PROVIDED/PAID-COMMON, CORP - EARNINGS BEF INTEREST & TAXES, CORP - EBIT & DEPRECIATION, CORP - NET INCOME - BASIC,#ERROR, CORP - EMPLOYEES, CORP - FY1 EPS MEAN EST, CORP - FY2 EPS MEAN EST
1 ,27.25,27216.3,1.21,40.4,248.8,2.898,8.993,14.859,5.23,1.26,,-0.451,NA,0.8,0.83,0.448,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4558,27216.3,,42.33,42.16,42.67,41.82,,42.16,276,276,127918,3023.4,12.4,12.4,12.45,12.4,12.55,12.3,10280,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.72,0.86,1,42.16,42.16,2194862,1000000,8013.09,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
2 ,27.58,27545.52,1.19,40.9,251.8,2.898,8.993,15.029,5.29,1.275,,-0.451,NA,0.8,0.83,0.453,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.456,27545.52,,42.84,42.67,43.52,42.5,,42.67,279.34,279.34,204546,4754.5,12.55,12.55,12.6,12.55,12.8,12.5,16166,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.76,0.87,1,42.67,42.67,2194862,1000000,8025.93,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
3 ,#N/A,27545.52,1.19,40.9,251.8,2.898,8.993,15.029,5.29,1.275,,-0.451,NA,0.8,0.83,0.453,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4561,27545.52,,NA,NA,NA,NA,,NA,279.34,279.34,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.76,0.87,1,NA,42.67,2194862,1000000,8025.93,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
4 ,27.47,27435.78,1.2,40.7,250.8,2.898,8.993,14.972,5.27,1.27,,-0.451,NA,0.8,0.83,0.451,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4562,27435.78,,42.5,42.33,43.52,42.33,,43.52,278.23,278.23,131070,3058.1,12.8,12.5,12.5,12.45,12.8,12.45,10398,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.75,0.87,1,42.5,42.5,2194862,1000000,8089.65,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
5 ,27.25,27216.3,1.21,40.4,248.8,2.898,8.993,14.859,5.23,1.26,,-0.451,NA,0.8,0.83,0.448,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4562,27216.3,,42.33,42.16,42.84,41.82,,42.67,276,276,276317,6535,12.55,12.4,12.45,12.4,12.6,12.3,22220,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.72,0.86,1,42.16,42.16,2194862,1000000,8121.78,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
6 ,27.25,27216.3,1.21,40.4,248.8,2.898,8.993,14.859,5.23,1.26,,-0.451,NA,0.8,0.83,0.448,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4562,27216.3,,42.16,41.99,43.35,41.82,,42.16,276,276,279870,6578.3,12.4,12.4,12.4,12.35,12.75,12.3,22367,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.72,0.86,1,42.16,42.16,2194862,1000000,8057.6,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
7 ,27.47,27435.78,1.2,40.7,250.8,2.898,8.993,14.972,5.27,1.27,,-0.451,NA,0.8,0.83,0.451,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4562,27435.78,,42.67,42.5,43.01,42.16,,42.5,278.23,278.23,184340,4329.5,12.5,12.5,12.55,12.5,12.65,12.4,14721,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.75,0.87,1,42.5,42.5,2194862,1000000,8092.03,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
8 ,27.91,27874.75,1.18,41.4,254.8,2.898,8.993,15.199,5.35,1.289,,-0.451,NA,0.8,0.83,0.458,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4562,27874.75,,43.18,43.01,43.35,42.67,,43.18,282.68,282.68,117767,2737.2,12.7,12.7,12.7,12.65,12.75,12.55,9307,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.81,0.88,1,43.18,43.18,2194862,1000000,8117.75,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
9 ,27.58,27545.52,1.19,40.9,251.8,2.898,8.993,15.029,5.29,1.275,,-0.451,NA,0.8,0.83,0.453,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4562,27545.52,,42.67,42.5,43.01,42.33,,43.01,279.34,279.34,122908,2880.5,12.65,12.55,12.55,12.5,12.65,12.45,9794,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,3.76,0.87,1,42.67,42.67,2194862,1000000,8029.73,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
10 ,29.45,29411.16,1.12,43.6,268.9,2.898,8.993,15.99,5.629,1.356,,-0.451,NA,0.8,0.83,0.484,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4563,29411.16,,NA,45.56,45.56,45.56,,45.56,298.26,298.26,601704,13206.2,13.4,13.4,NA,13.4,13.4,13.4,44903,NA,94.21,9608922,2392913,2485958,5.9,22874910,1000,,,NA,NA,4.02,0.93,1,45.56,45.56,2194862,1000000,8097.13,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,2.01,8.86
