,, - MARKET VALUE, - DIVIDEND YIELD, - PER, - PRICE INDEX, - 12M FWD DIVIDEND YIELD (%), - 12 MONTH FORWARD EARN. YIELD, - CURRENT EV / 12M FWD EBIT, - CURRENT EV / 12M FWD EBITDA, - CURRENT EV / 12M FWD SALES, - 12M FWD FREE CASH FLOW YLD (%), - 12M FWD NET DEBT / EBITDA, - 12M FWD NET DEBT / EV, - 12M FWD PE vs MARKET, - 12M FWD PE vs SECTOR, - 12M FWD PRICE/BOOK, - ADJUSTMENTFACTOR, - ADJUST COEFFICIENT, - DIV PAY DATE, - EX-DIVID DATE, - DIV.PER SHR., - DIV RATE UNADJUST, - DIVIDEND TAX IND, - DIVIDEND TYPE, - DIV RATE UNADJUST, - EARNINGS PER SHR,#ERROR, - HISTORICAL VOLATILITY 5 YEARS, - MARKET VAL BY CO.,#ERROR, - ASK PRICE, - BID PRICE, - PRICE HIGH, - PRICE LOW,#ERROR, - OPENING PRICE, - RETURN IND AS PAID, - TOT RETURN IND, - TURNOVER BY VALUE, - TURNOVER BY VOLUME, - UNADJ. PRICE OPEN, - UNADJUSTED PRICE, - UNADJ. ASK PRICE, - UNADJ. BID PRICE, - UNADJ. PRICE HIGH, - UNADJ. PRICE LOW, - UNADJ. VOLUME, - VOL WGHTD AV PRICE, - BK VAL PS 12M FWD, - EV 12M FWD, - NET INCOME 12M FWD, - PRETAX PRF 12M FWD, - ROE 12M FWD, - SALES 12M FWD, -  - TURNOVER BY VOLUME,#ERROR,#ERROR, - PRICE/EBG2 RATIO, - PRICE/EBG1 RATIO, - P/CSH FLOW RATIO, - PRICE TO BOOK VAL, - , -  (#S), -  (#T), - NUMBER OF SHARES, -  - MARKET VALUE, - PRICE INDEX, - FREE FLOAT NOSH,#ERROR, - TOTAL INTANGIBLE OT ASSETS-NET, - TOTAL INVENTORIES, - CURRENT ASSETS - TOTAL, - TOTAL INVENTORIES, - CASH & SHORT TERM INVESTMENTS, CORP - RECEIVABLES(NET),#ERROR, CORP - SHORT TERM DEBT & CURRENT PORT, CORP - CURRENT LIABILITIES-TOTAL, CORP - WORKING CAPITAL, CORP - LONG TERM DEBT, CORP - TOTAL DEBT, CORP - DEFERRED TAXES,#ERROR, CORP - COMMON STOCK, CORP - PREFERRED STOCK, CORP - TOTAL CAPITAL, CORP - FUNDS FROM OPERATIONS, CORP - NET CASH FLOW-OPERATING ACTIVS, CORP - AMORTIZATION-INTANGIBLE ASSETS,#ERROR, CORP - COMMON DIVIDENDS (CASH), CORP - CASH DIVIDENDS PAID - TOTAL, CORP - NET PROCEEDS FROM SALE/ISSUE C, CORP - NET CASH FLOW - FINANCING, CORP - INCREASE/DECREASE IN CASH/SHOR, CORP - NET SALES OR REVENUES,#ERROR," CORP - SELLING, GENERAL & ADMINISTRAT", CORP - DEPRECIATION/DEPLETION/AMORT, CORP - AMORTIZATION OF INTANGIBLES, CORP - AMORTIZATION OF DEFERRED CHARG, CORP - OPERATING INCOME, CORP - INTEREST EXPENSE ON DEBT,#ERROR, CORP - RESEARCH & DEVELOPMENT, CORP - SALARIES & BENEFITS EXPENSES, CORP - EXTRAORDINARY CREDIT - PRETAX, CORP - EXTRAORDINARY CHARGE - PRETAX, CORP - PRETAX INCOME, CORP - INCOME TAXES,#ERROR, CORP - NET INC BEFORE EXTRA/PFD DIVS, CORP - PREFERRED DIVIDEND REQUIREMENT, CORP - DIVIDENDS PROVIDED/PAID-COMMON, CORP - EARNINGS BEF INTEREST & TAXES, CORP - EBIT & DEPRECIATION, CORP - NET INCOME - BASIC,#ERROR, CORP - EMPLOYEES, CORP - FY1 EPS MEAN EST, CORP - FY2 EPS MEAN EST
1 ,26.46,320862.9,0,NA,93.9,1.043,8.662,13.278,3.302,0.891,4.849,0.536,0.192,0.83,0.94,1.027,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3967,320862.9,,36.4,36.35,36.5,35.8,,36.15,108.32,108.32,1648542,45436,36.15,36.35,36.4,36.35,36.5,35.8,45436,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.54,1.2,1,36.35,36.35,8827043,1000000,8013.09,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
2 ,26.79,324835.1,0,NA,95,1.043,8.662,13.402,3.333,0.899,4.789,0.536,0.192,0.83,0.94,1.04,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3968,324835.1,,36.8,36.75,36.95,36.55,,36.55,109.66,109.66,1639198,44548,36.55,36.8,36.8,36.75,36.95,36.55,44548,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.58,1.21,1,36.8,36.8,8827043,1000000,8025.93,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
3 ,#N/A,324835.1,0,NA,95,1.043,8.662,13.402,3.333,0.899,4.789,0.536,0.192,0.83,0.94,1.04,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3969,324835.1,,NA,NA,NA,NA,,NA,109.66,109.66,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.58,1.21,1,NA,36.8,8827043,1000000,8025.93,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
4 ,26.93,326600.6,0,NA,95.5,1.043,8.662,13.457,3.347,0.903,4.764,0.536,0.192,0.83,0.94,1.046,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3968,326600.6,,37,36.95,37.35,36.8,,37.3,110.25,110.25,1989228,53630,37.3,37,37,36.95,37.35,36.8,53630,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.6,1.22,1,37,37,8827043,1000000,8089.65,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
5 ,26.75,324393.8,0,NA,94.9,1.043,8.662,13.388,3.33,0.898,4.796,0.536,0.192,0.83,0.94,1.039,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3968,324393.8,,36.8,36.75,37.1,36.4,,37.05,109.51,109.51,1082124,29476,37.05,36.75,36.8,36.75,37.1,36.4,29476,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.58,1.21,1,36.75,36.75,8827043,1000000,8121.78,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
6 ,26.24,318214.8,0,NA,93.1,1.043,8.662,13.196,3.282,0.886,4.889,0.536,0.192,0.83,0.94,1.019,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3967,318214.8,,36.1,36.05,36.55,35.95,,36.15,107.42,107.42,2039171,56386,36.15,36.05,36.1,36.05,36.55,35.95,56386,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.51,1.19,1,36.05,36.05,8827043,1000000,8057.6,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
7 ,26.02,315566.8,0,NA,92.3,1.043,8.662,13.114,3.261,0.88,4.93,0.536,0.192,0.83,0.94,1.011,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3966,315566.8,,35.8,35.75,35.95,35.6,,35.8,106.53,106.53,1283456,35854,35.8,35.75,35.8,35.75,35.95,35.6,35854,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.48,1.18,1,35.75,35.75,8827043,1000000,8092.03,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
8 ,26.53,321745.7,0,NA,94.1,1.043,8.662,13.306,3.309,0.893,4.835,0.536,0.192,0.83,0.94,1.03,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3966,321745.7,,36.45,36.4,37,35.95,,36,108.61,108.61,1368729,37459,36,36.45,36.45,36.4,37,35.95,37459,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.55,1.2,1,36.45,36.45,8827043,1000000,8117.75,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
9 ,25.99,315125.4,0,NA,92.2,1.043,8.662,13.1,3.258,0.879,4.937,0.536,0.192,0.83,0.94,1.009,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3966,315125.4,,35.75,35.7,36.2,35.6,,35.75,106.38,106.38,862840,24082,35.75,35.7,35.75,35.7,36.2,35.6,24082,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.48,1.18,1,35.7,35.7,8827043,1000000,8029.73,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
10 ,26.17,317332.2,0,NA,92.8,1.043,8.662,13.169,3.275,0.884,4.903,0.536,0.192,0.83,0.94,1.016,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3964,317332.2,,35.95,35.9,36.15,35.4,,36.1,107.12,107.12,887081,24849,36.1,35.95,35.95,35.9,36.15,35.4,24849,NA,35.38,360908500,27252430,28988830,9.35,479940400,1000,,,NA,NA,3.5,1.18,1,35.95,35.95,8827043,1000000,8097.13,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.92,3.61
